channel,name,rx_freq,tx_freq,power,tone
15,,50.2546,50.2546,High,0000
16,,75.2546,75.2546,High,0000
19,,50.2646,50.2646,High,0000
20,,75.2646,75.2646,High,0000
37,,50.2546,50.2546,Low,0000
38,,75.2546,75.2546,Low,0000
41,,50.2646,50.2646,Low,0000
42,,75.2646,75.2646,Low,0000
45,,50.2546,50.7546,Low,0000
46,,75.2546,75.7546,Low,0000
49,,50.2646,50.7646,Low,0000
50,,75.2646,75.7646,Low,0000
70,,50.2516,50.2516,Low,0000
72,,75.2416,75.2416,Low,0000
74,,50.2416,50.2416,Low,0000
77,,50.1616,50.1616,Low,0000
78,,75.1716,75.1716,Low,0000
79,,75.3216,75.3216,Low,0000
90,,80.6814,80.6214,Low,3004
